,station_id,stationname,rides,lat,long
86,40910,63rd-Dan Ryan,3124.2195295794727,41.780536,-87.630952
87,40920,Pulaski-Forest Park,1892.1152234636872,41.873797,-87.725663
88,40930,Midway Airport,8994.675561797752,41.78661,-87.737875
89,40940,Halsted/63rd,966.7045614035088,41.778943,-87.644244
90,40960,Pulaski-Orange,5195.985964912281,41.799756,-87.724493
91,40970,Cicero-Forest Park,1435.76,41.871574,-87.745154
92,40980,Harlem-Forest Park,1146.4877192982456,41.87349,-87.806961
93,40990,69th,5200.429181494662,41.768367,-87.625724
94,41000,Cermak-Chinatown,3939.573257467994,41.853206,-87.630968
95,41010,Rockwell,1820.6669004207574,41.966115,-87.6941
96,41020,Logan Square,6953.922752808989,41.929728,-87.708541
97,41030,Polk,3382.8146853146854,41.871551,-87.66953
98,41040,Kedzie-Cermak,1090.9880617977528,41.853964,-87.705408
99,41050,Linden,966.7168885774352,42.073153,-87.69073
100,41060,Ashland-Orange,1640.700140449438,41.839234,-87.665317
101,41070,Kedzie-Lake,1568.97967764541,41.884321,-87.706155
102,41080,47th-South Elevated,1436.7434996486297,41.809209,-87.618826
103,41090,Monroe/State,10478.786816269285,41.880745,-87.627696
104,41120,35-Bronzeville-IIT,2438.5386235955057,41.831677,-87.625826
105,41130,Halsted-Orange,2815.017531556802,41.84678,-87.648088
106,41140,King Drive,683.1587078651686,41.78013,-87.615546
107,41150,Kedzie-Midway,3222.7778556412054,41.804236,-87.704406
108,41160,Clinton-Lake,4290.380182712579,41.885678,-87.641782
109,41170,Garfield-Dan Ryan,3513.5131860299357,41.79542,-87.631157
110,41180,Kedzie-Brown,2005.218487394958,41.965996,-87.708821
111,41190,Jarvis,1589.5399719495092,42.015876,-87.669092
112,41200,Argyle,2980.2948179271707,41.973453,-87.65853
113,41210,Wellington,2992.926522043387,41.936033,-87.653266
114,41220,Fullerton,13225.964862965566,41.925051,-87.652866
115,41230,47th-Dan Ryan,3020.681850533808,41.810318,-87.63094
116,41240,Addison-O'Hare,2862.3560393258426,41.94738,-87.71906
117,41250,Central-Evanston,841.1716678297279,42.063987,-87.685617
118,41260,Austin-Lake,2033.0947368421052,41.887293,-87.774135
119,41270,43rd,1133.5356643356643,41.816462,-87.619021
120,41280,Jefferson Park,6832.295518207283,41.970634,-87.760892
121,41290,Kimball,4144.7366573033705,41.967901,-87.713065
122,41300,Loyola,5472.449824561403,42.001073,-87.661061
123,41310,Paulina,2685.497899159664,41.943623,-87.670907
124,41320,Belmont-North Main,12756.7329585383,41.939751,-87.65338
125,41330,Montrose-O'Hare,2407.321503131524,41.961539,-87.743574
126,41340,LaSalle,3050.318117977528,41.875568,-87.631722
127,41350,Oak Park-Lake,1601.749824807288,41.886988,-87.793783
128,41360,California-Lake,1132.6939775910364,41.88422,-87.696234
129,41380,Bryn Mawr,4980.3235087719295,41.983504,-87.65884
130,41400,Roosevelt,11254.118347338936,41.867405,-87.62659
131,41400,Roosevelt,11254.118347338936,41.867368,-87.627402
132,41410,Chicago/Milwaukee,4279.9297259311315,41.896075,-87.655214
133,41420,Addison-North Main,8215.661754385965,41.947428,-87.653626
134,41430,87th,4354.604982206406,41.735372,-87.624717
135,41440,Addison-Brown,2477.4698033707864,41.947028,-87.674642
136,41450,Chicago/State,15324.57203092059,41.896671,-87.628176
137,41460,Irving Park-Brown,3079.813202247191,41.954521,-87.674868
138,41480,Western-Brown,4130.598596491228,41.966163,-87.688502
139,41490,Harrison,4243.093072078376,41.874039,-87.627479
140,41500,Montrose-Brown,2741.9470752089137,41.961756,-87.675047
141,41510,Morgan-Lake,2203.1985226223455,41.885586,-87.652193
142,41660,Lake/State,19693.376669009136,41.884809,-87.627813
143,41670,Conservatory,956.2902319044273,41.884904,-87.716523
144,41680,Oakton-Skokie,809.7971014492754,42.02624348,-87.74722084
145,41690,Cermak-McCormick Place,1214.6277915632754,41.853115,-87.626402
