InputID,TargetID,Distance
0,242,0.0460929790673
0,271,0.0599408913846
0,259,0.0599408913846
0,278,0.0609901744944
0,243,0.0609901744944
1,242,0.0221990308496
1,271,0.0466129162417
1,259,0.0466129162417
1,278,0.0466270176068
1,243,0.0466270176068
2,279,0.024312179747
2,79,0.0332007895855
2,83,0.0402578980081
2,40,0.0436014183153
2,116,0.0436014183153
3,179,0.000770415933762
3,182,0.000777658077626
3,232,0.000897529170598
3,198,0.00162940336858
3,163,0.00200635463809
4,147,0.0290221715311
4,67,0.0290724033547
4,68,0.0302975336368
4,65,0.030399552887
4,66,0.030468223699
5,96,0.00907560876953
5,101,0.00913332916721
5,59,0.0137720057012
5,48,0.0137720057012
5,74,0.0170735832517
6,90,0.000502733605226
6,138,0.00170453106678
6,164,0.00204083070321
6,36,0.00249211506896
6,198,0.00284741747442
7,168,0.00666650839128
7,169,0.006948440815
7,38,0.00985103454621
7,122,0.00985103454621
7,61,0.0121163179401
8,218,0.00533641428665
8,104,0.00725165649622
8,56,0.00725165649622
8,207,0.00732306129561
8,63,0.00908663171372
8,43,0.00908663171372
9,257,0.00611267040369
9,71,0.00812242632355
9,70,0.00824068096858
9,73,0.00824068096858
9,69,0.00824068096858
10,86,0.0161048957314
10,0,0.0200461500962
10,84,0.0233091242939
10,17,0.0306743281234
10,27,0.0310341952142
11,4,0.00437732361298
11,237,0.0229518434703
11,277,0.0229518434703
11,187,0.0295386824279
11,50,0.0295386824279
12,216,0.0431965826285
12,186,0.0523281063494
12,241,0.0624687696726
12,67,0.0646135116037
12,147,0.0649020768098
13,216,0.0431965826285
13,186,0.0523281063494
13,241,0.0624687696726
13,67,0.0646135116037
13,147,0.0649020768098
14,279,0.0190274606627
14,0,0.0309250734128
14,17,0.0337703804281
14,84,0.0388253060029
14,5,0.0465091790644
15,198,0.00178421214084
15,232,0.00189144539283
15,90,0.00232334578481
15,179,0.00258201918526
15,164,0.00260892560169
16,81,0.00427156191227
16,58,0.00613792279849
16,55,0.0062745615102
16,45,0.00659982878282
16,52,0.00659982878282
17,242,0.0385411566344
17,271,0.0582897559651
17,259,0.0582897559651
17,278,0.0588691041808
17,243,0.0588691041808
18,273,0.00386749210907
18,16,0.00467755297707
18,87,0.0165943712996
18,85,0.0171783553019
18,4,0.0286271349422
19,94,0.000217778631566
19,91,0.000283489848074
19,226,0.00155931406952
19,193,0.00202390695254
19,235,0.00205431948782
20,27,0.00866964127008
20,84,0.00983433389235
20,2,0.0126709918597
20,17,0.0153392202949
20,86,0.0213288524242
21,40,0.0136502451586
21,116,0.0136502451586
21,17,0.0173733008896
21,2,0.0173809925356
21,89,0.0184852687896
22,243,0.0733369010666
22,278,0.0733369010666
22,271,0.0752060384886
22,259,0.0752060384886
22,216,0.0753327648542
23,280,0.0145207023935
23,249,0.0145207023935
23,276,0.0422895526872
23,137,0.0422895526872
23,274,0.0527950395302
24,279,0.0088945681816
24,17,0.0221134266959
24,40,0.0275065181155
24,116,0.0275065181155
24,83,0.0294347124344
25,185,0.00159097320094
25,196,0.00168137503948
25,94,0.00233179924229
25,91,0.00238635372985
25,226,0.00276759243701
26,68,0.0155459180363
26,65,0.0156529800771
26,66,0.0158437262456
26,147,0.017520297256
26,67,0.0176853455587
27,242,0.0428450323629
27,271,0.0472451854835
27,259,0.0472451854835
27,278,0.0487609762837
27,243,0.0487609762837
28,4,0.0481428389311
28,280,0.0551531420842
28,249,0.0551531420842
28,86,0.0569269132147
28,16,0.0592167200334
29,273,0.0105486133995
29,16,0.0166081957647
29,4,0.0180392146459
29,87,0.0293136644164
29,85,0.0298508140192
30,5,0.0315754305021
30,86,0.0361115790873
30,0,0.040073342019
30,84,0.0476196812963
30,85,0.0503016290804
31,102,0.00140285307281
31,76,0.00165962541435
31,132,0.00347297226379
31,95,0.00396995948907
31,26,0.00396995948907
32,253,0.000268787841499
32,180,0.000865068201082
32,283,0.00215514273815
32,142,0.00218585033353
32,152,0.00285018784997
33,64,0.00556636713669
33,215,0.0059531164066
33,134,0.00929029591429
33,269,0.00982809145196
33,195,0.00982809145196
34,262,0.00500475579284
34,146,0.00500475579284
34,225,0.00656184135551
34,228,0.00827894368753
34,6,0.0083524835684
35,194,0.000398680461496
35,31,0.000554096165337
35,54,0.00659783420269
35,223,0.00667655981406
35,61,0.00714830140145
36,10,0.000370562981168
36,9,0.000370562981168
36,19,0.000370562981168
36,18,0.000370562981168
36,22,0.000370562981168
37,206,0.000961090754254
37,281,0.00142028366621
37,185,0.00146908826289
37,200,0.00172119020471
37,178,0.00248622278406
38,242,0.0377602792835
38,278,0.0638502054203
38,243,0.0638502054203
38,271,0.0641212201898
38,259,0.0641212201898
39,147,0.0394323456638
39,67,0.0394660519818
39,68,0.0403805900993
39,66,0.0403989694996
39,65,0.0404741829648
40,279,0.0380924053878
40,204,0.0443479291025
40,275,0.0443479291025
40,0,0.0507989494483
40,5,0.0530014787382
41,228,0.00143035218917
41,234,0.00294036898869
41,28,0.00387850479811
41,114,0.00387850479811
41,211,0.00425573007806
42,17,0.00572333986744
